number,language,score
0,afrikaans,0.0521739130434782
1,agni,0.217391304347826
2,akan,0.2028985507246377
3,albanian,0.107890499194847
4,amazigh,0.1594202898550724
5,amharic,0.2036231884057971
6,arabic,0.1366865586814435
7,armenian,0.1231884057971014
8,ashanti,0.1304347826086956
9,azerbaijani,0.1884057971014492
10,bafang,0.2608695652173913
11,baga,0.1739130434782608
12,bai,0.4927536231884058
13,bambara,0.2
14,bamun,0.1304347826086956
15,bari,0.1956521739130435
16,basque,0.217391304347826
17,bavarian,0.108695652173913
18,belarusan,0.1304347826086956
19,bengali,0.1014492753623188
20,bosnian,0.1143317230273752
21,bulgarian,0.1167471819645732
22,burmese,0.2101449275362318
23,cantonese,0.1783238815374921
24,carolinian,0.0144927536231884
25,catalan,0.0978260869565217
26,cebuano,0.0579710144927536
27,chaldean,0.036231884057971
28,chamorro,0.0144927536231884
29,chichewa,0.0869565217391304
30,chittagonian,0.463768115942029
31,croatian,0.0887681159420289
32,czech,0.0853462157809984
33,danish,0.0670289855072463
34,dari,0.1855072463768116
35,dinka,0.1304347826086956
36,dutch,0.0678384212149244
37,ebira,0.4057971014492754
38,edo,0.217391304347826
39,english,0.0427774023178391
40,estonian,0.0326086956521739
41,ewe,0.0434782608695652
42,fang,0.2608695652173913
43,fanti,0.144927536231884
44,faroese,0.1884057971014492
45,farsi,0.1008191556395715
46,fataluku,0.1594202898550724
47,fijian,0.072463768115942
48,filipino,0.1376811594202898
49,finnish,0.0815217391304347
50,french,0.1051299746951921
51,frisian,0.0
52,ga,0.1207729468599033
53,gan,0.3768115942028985
54,ganda,0.2898550724637681
55,garifuna,0.1014492753623188
56,gedeo,0.1304347826086956
57,georgian,0.1594202898550724
58,german,0.0897745571658615
59,greek,0.0985507246376811
60,gujarati,0.1239935587761674
61,gusii,0.1521739130434782
62,hadiyya,0.1956521739130435
63,hainanese,0.1594202898550724
64,hakka,0.3188405797101449
65,hausa,0.1207729468599033
66,hebrew,0.0418679549114331
67,hindi,0.0619967793880837
68,hindko,0.0289855072463768
69,hmong,0.0507246376811594
70,hungarian,0.1465378421900161
71,ibibio,0.1497584541062802
72,icelandic,0.072463768115942
73,ife,0.1304347826086956
74,igbo,0.2415458937198067
75,ilonggo,0.0579710144927536
76,indonesian,0.1503623188405796
77,irish,0.072463768115942
78,italian,0.1256038647342995
79,japanese,0.1288244766505636
80,jola,0.144927536231884
81,kabyle,0.1014492753623188
82,kalanga,0.144927536231884
83,kambaata,0.1835748792270531
84,kannada,0.1594202898550724
85,kanuri,0.3043478260869565
86,kazakh,0.1400966183574879
87,khmer,0.2008281573498964
88,kikongo,0.181159420289855
89,kikuyu,0.1231884057971014
90,kirghiz,0.144927536231884
91,kiswahili,0.1239935587761674
92,konkani,0.0144927536231884
93,korean,0.1574693422519509
94,krio,0.2004830917874396
95,kru,0.072463768115942
96,kurdish,0.1739130434782608
97,lamaholot,0.2028985507246377
98,lamotrekese,0.072463768115942
99,lao,0.3285024154589371
100,latvian,0.038647342995169
101,lingala,0.217391304347826
102,lithuanian,0.1014492753623188
103,luo,0.072463768115942
104,luxembourgeois,0.0289855072463768
105,macedonian,0.0919732441471571
106,malagasy,0.2898550724637681
107,malay,0.0927536231884057
108,malayalam,0.0543478260869565
109,maltese,0.0797101449275362
110,mandarin,0.1540691192865106
111,mandingo,0.144927536231884
112,mandinka,0.0579710144927536
113,mankanya,0.3188405797101449
114,marathi,0.0289855072463768
115,mauritian,0.1376811594202898
116,mende,0.217391304347826
117,miskito,0.2621870882740447
118,mizo,0.1159420289855072
119,moba,0.3478260869565217
120,mongolian,0.1288244766505636
121,moore,0.1159420289855072
122,mortlockese,0.0869565217391304
123,nama,0.1304347826086956
124,nandi,0.2898550724637681
125,naxi,0.072463768115942
126,nepali,0.2274247491638796
127,newari,0.4347826086956521
128,ngemba,0.1376811594202898
129,norwegian,0.0628019323671497
130,nuer,0.2318840579710145
131,oriya,0.1884057971014492
132,oromo,0.1207729468599033
133,papiamentu,0.0144927536231884
134,pashto,0.1492753623188406
135,pohnpeian,0.0144927536231884
136,polish,0.118925831202046
137,portuguese,0.1207729468599034
138,pulaar,0.1207729468599033
139,punjabi,0.1391304347826087
140,quechua,0.4057971014492754
141,romanian,0.086231884057971
142,rotuman,0.0434782608695652
143,rundi,0.0434782608695652
144,russian,0.1135265700483092
145,rwanda,0.1594202898550724
146,sa'a,1.0
147,sardinian,0.1304347826086956
148,sarua,0.3768115942028985
149,satawalese,0.072463768115942
150,serbian,0.0974235104669887
151,serer,0.1594202898550724
