number,language,score
0,afrikaans,0.1217391304347826
1,agni,0.3043478260869565
2,akan,0.7681159420289855
3,albanian,0.2624798711755234
4,amazigh,0.2391304347826086
5,amharic,0.3246376811594203
6,arabic,0.295254333617505
7,armenian,0.4637681159420289
8,ashanti,0.1884057971014492
9,azerbaijani,0.3864734299516908
10,bafang,0.3405797101449275
11,baga,0.2463768115942029
12,bai,0.9420289855072465
13,bambara,0.3652173913043478
14,bamun,0.2898550724637681
15,bari,0.5652173913043478
16,basque,0.3623188405797101
17,bavarian,0.8043478260869565
18,belarusan,0.2995169082125604
19,bengali,0.2472293265132139
20,bosnian,0.2109500805152978
21,bulgarian,0.181159420289855
22,burmese,0.4202898550724637
23,cantonese,0.3547574039067422
24,carolinian,0.1014492753623188
25,catalan,0.4239130434782608
26,cebuano,0.1884057971014492
27,chaldean,0.3768115942028985
28,chamorro,0.0289855072463768
29,chichewa,0.1884057971014492
30,chittagonian,0.4492753623188406
31,croatian,0.2590579710144928
32,czech,0.2801932367149759
33,danish,0.2590579710144927
34,dari,0.2898550724637681
35,dinka,0.2753623188405797
36,dutch,0.2065988282454517
37,ebira,0.4492753623188406
38,edo,0.463768115942029
39,english,0.1373933068008304
40,estonian,0.0942028985507246
41,ewe,0.1304347826086956
42,fang,0.3623188405797101
43,fanti,0.1980676328502415
44,faroese,0.1594202898550724
45,farsi,0.1808443604284814
46,fataluku,0.3623188405797101
47,fijian,0.4541062801932367
48,filipino,0.5652173913043479
49,finnish,0.1539855072463768
50,french,0.2222222222222222
51,frisian,0.0579710144927536
52,ga,0.1956521739130435
53,gan,0.4492753623188406
54,ganda,0.3478260869565217
55,garifuna,0.4855072463768116
56,gedeo,0.7391304347826086
57,georgian,0.3681159420289854
58,german,0.2250402576489533
59,greek,0.2009661835748792
60,gujarati,0.2399355877616747
61,gusii,0.3043478260869565
62,hadiyya,0.4927536231884057
63,hainanese,0.2318840579710145
64,hakka,0.5652173913043478
65,hausa,0.3494363929146538
66,hebrew,0.1481481481481481
67,hindi,0.3309178743961352
68,hindko,0.2028985507246377
69,hmong,0.0942028985507246
70,hungarian,0.3268921095008051
71,ibibio,0.3526570048309179
72,icelandic,0.2222222222222222
73,ife,0.1739130434782608
74,igbo,0.3043478260869565
75,ilonggo,0.144927536231884
76,indonesian,0.2391304347826087
77,irish,0.1159420289855072
78,italian,0.2626262626262625
79,japanese,0.2088030059044552
80,jola,0.7391304347826086
81,kabyle,0.1594202898550724
82,kalanga,0.6231884057971014
83,kambaata,0.4734299516908213
84,kannada,0.217391304347826
85,kanuri,0.2898550724637681
86,kazakh,0.4685990338164251
87,khmer,0.2587991718426501
88,kikongo,0.2681159420289855
89,kikuyu,0.2318840579710144
90,kirghiz,0.2318840579710145
91,kiswahili,0.3107890499194847
92,konkani,0.5217391304347826
93,korean,0.2672798216276477
94,krio,0.2536231884057971
95,kru,0.0869565217391304
96,kurdish,0.3289855072463768
97,lamaholot,0.3188405797101449
98,lamotrekese,0.0869565217391304
99,lao,0.429951690821256
100,latvian,0.0966183574879227
101,lingala,0.3043478260869565
102,lithuanian,0.2801932367149759
103,luo,0.2246376811594203
104,luxembourgeois,0.1014492753623188
105,macedonian,0.1906354515050167
106,malagasy,0.2898550724637681
107,malay,0.4782608695652174
108,malayalam,0.3043478260869565
109,maltese,0.0942028985507246
110,mandarin,0.2595317725752509
111,mandingo,0.2608695652173913
112,mandinka,0.1884057971014492
113,mankanya,0.7681159420289855
114,marathi,0.072463768115942
115,mauritian,0.1884057971014492
116,mende,0.4734299516908213
117,miskito,0.3175230566534914
118,mizo,0.1159420289855072
119,moba,0.5072463768115942
120,mongolian,0.2447665056360708
121,moore,0.2608695652173913
122,mortlockese,0.0579710144927536
123,nama,0.4202898550724637
124,nandi,0.5362318840579711
125,naxi,0.144927536231884
126,nepali,0.3132664437012262
127,newari,0.3768115942028985
128,ngemba,0.2028985507246377
129,norwegian,0.1425120772946859
130,nuer,0.4057971014492754
131,oriya,0.3043478260869565
132,oromo,0.2657004830917874
133,papiamentu,0.0434782608695652
134,pashto,0.4521739130434782
135,pohnpeian,0.0434782608695652
136,polish,0.2523444160272805
137,portuguese,0.2240338164251206
138,pulaar,0.5603864734299516
139,punjabi,0.3217391304347826
140,quechua,0.4420289855072463
141,romanian,0.281159420289855
142,rotuman,0.4130434782608695
143,rundi,0.1159420289855072
144,russian,0.2832125603864735
