number,language,score,frequency
5,amharic,0.3246376811594203,20
6,arabic,0.295254333617505,102
19,bengali,0.2472293265132139,17
21,bulgarian,0.181159420289855,18
23,cantonese,0.3547574039067422,23
36,dutch,0.2065988282454517,47
39,english,0.1373933068008304,579
45,farsi,0.1808443604284814,23
50,french,0.2222222222222222,63
58,german,0.2250402576489533,36
67,hindi,0.3309178743961352,18
78,italian,0.2626262626262625,33
79,japanese,0.2088030059044552,27
93,korean,0.2672798216276477,52
105,macedonian,0.1906354515050167,26
110,mandarin,0.2595317725752509,65
136,polish,0.2523444160272805,34
137,portuguese,0.2240338164251206,48
141,romanian,0.281159420289855,20
144,russian,0.2832125603864735,48
150,serbian,0.2294685990338164,18
162,spanish,0.2558597244587583,162
165,swedish,0.1594202898550724,20
168,tagalog,0.1537842190016102,18
181,turkish,0.2647865256560908,37
185,urdu,0.1875,16
188,vietnamese,0.3853754940711462,22
