number,language,score,frequency
0,afrikaans,0.2376811594202898,5
1,agni,0.6231884057971014,1
2,akan,0.5507246376811594,1
3,albanian,0.391304347826087,9
4,amazigh,0.5144927536231885,2
5,amharic,0.4782608695652174,20
6,arabic,0.4312304631997726,102
7,armenian,0.6014492753623188,8
8,ashanti,0.5507246376811594,1
9,azerbaijani,0.6328502415458938,3
10,bafang,0.5289855072463768,2
11,baga,0.4782608695652174,1
12,bai,0.855072463768116,1
13,bambara,0.5826086956521739,5
14,bamun,0.6231884057971014,1
15,bari,0.5507246376811594,2
16,basque,0.7536231884057971,2
17,bavarian,0.4420289855072463,2
18,belarusan,0.6376811594202898,3
19,bengali,0.4075021312872975,17
20,bosnian,0.4492753623188406,9
21,bulgarian,0.4251207729468599,18
22,burmese,0.6666666666666666,2
23,cantonese,0.4940138626339005,23
24,carolinian,0.4347826086956521,1
25,catalan,0.4347826086956521,4
26,cebuano,0.2463768115942029,1
27,chaldean,0.2971014492753623,2
28,chamorro,0.1594202898550724,1
29,chichewa,0.5072463768115942,1
30,chittagonian,0.8260869565217391,1
31,croatian,0.4384057971014492,8
32,czech,0.3752012882447665,9
33,danish,0.2880434782608695,8
34,dari,0.408695652173913,5
35,dinka,0.4057971014492754,1
36,dutch,0.3132901634289238,47
37,ebira,0.5942028985507246,1
38,edo,0.6521739130434783,1
39,english,0.2151635753798402,579
40,estonian,0.25,4
41,ewe,0.5579710144927537,2
42,fang,0.6521739130434783,1
43,fanti,0.463768115942029,3
44,faroese,0.5507246376811594,1
45,farsi,0.4215500945179585,23
46,fataluku,0.6086956521739131,1
47,fijian,0.3719806763285024,3
48,filipino,0.4565217391304348,2
49,finnish,0.3351449275362319,8
50,french,0.4182194616977225,63
51,frisian,0.0869565217391304,1
52,ga,0.3840579710144927,6
53,gan,0.6956521739130435,1
54,ganda,0.4855072463768116,2
55,garifuna,0.5289855072463768,2
56,gedeo,0.5217391304347826,1
57,georgian,0.536231884057971,5
58,german,0.3474235104669887,36
59,greek,0.4057971014492754,15
60,gujarati,0.4750402576489532,9
61,gusii,0.6014492753623188,2
62,hadiyya,0.5144927536231884,2
63,hainanese,0.5797101449275363,1
64,hakka,0.5942028985507246,1
65,hausa,0.4573268921095008,9
66,hebrew,0.3107890499194846,9
67,hindi,0.392109500805153,18
68,hindko,0.5362318840579711,1
69,hmong,0.3260869565217391,2
70,hungarian,0.3655394524959743,9
71,ibibio,0.4879227053140096,3
72,icelandic,0.3381642512077294,3
73,ife,0.4782608695652174,1
74,igbo,0.5314009661835749,3
75,ilonggo,0.391304347826087,1
76,indonesian,0.4456521739130434,8
77,irish,0.3188405797101449,1
78,italian,0.4804567413263066,33
79,japanese,0.3988191089640366,27
80,jola,0.5072463768115942,1
81,kabyle,0.3768115942028985,1
82,kalanga,0.5507246376811594,1
83,kambaata,0.5893719806763285,3
84,kannada,0.4492753623188406,1
85,kanuri,0.6086956521739131,1
86,kazakh,0.6280193236714976,3
87,khmer,0.4844720496894409,7
88,kikongo,0.5507246376811594,2
89,kikuyu,0.5434782608695652,4
90,kirghiz,0.5942028985507246,1
91,kiswahili,0.4541062801932367,9
92,konkani,0.4492753623188406,1
93,korean,0.5239687848383502,52
94,krio,0.5314009661835749,6
95,kru,0.4057971014492754,1
96,kurdish,0.4434782608695651,10
97,lamaholot,0.5797101449275363,1
98,lamotrekese,0.1594202898550724,1
99,lao,0.6666666666666666,3
100,latvian,0.3478260869565217,3
101,lingala,0.4347826086956521,1
102,lithuanian,0.3743961352657004,6
103,luo,0.4565217391304348,2
104,luxembourgeois,0.3333333333333333,1
105,macedonian,0.354515050167224,26
106,malagasy,0.6376811594202898,1
107,malay,0.3913043478260869,5
108,malayalam,0.322463768115942,4
109,maltese,0.3333333333333333,2
110,mandarin,0.4945373467112597,65
111,mandingo,0.7391304347826086,1
112,mandinka,0.3333333333333333,1
113,mankanya,0.7681159420289855,1
114,marathi,0.2995169082125604,3
115,mauritian,0.4565217391304348,2
116,mende,0.6231884057971014,3
117,miskito,0.5915678524374176,11
118,mizo,0.3623188405797101,1
119,moba,0.7246376811594203,1
120,mongolian,0.4315619967793881,9
121,moore,0.217391304347826,1
122,mortlockese,0.2753623188405797,1
123,nama,0.6376811594202898,1
124,nandi,0.5507246376811594,1
125,naxi,0.5362318840579711,1
126,nepali,0.5083612040133779,13
127,newari,0.7971014492753623,1
128,ngemba,0.4057971014492754,2
129,norwegian,0.3115942028985507,6
130,nuer,0.6086956521739131,1
131,oriya,0.5,2
132,oromo,0.5507246376811594,3
133,papiamentu,0.108695652173913,2
134,pashto,0.4681159420289854,10
135,pohnpeian,0.4057971014492754,1
136,polish,0.3857630008525149,34
137,portuguese,0.4474637681159422,48
138,pulaar,0.5024154589371981,3
139,punjabi,0.5057971014492754,10
140,quechua,0.6666666666666667,2
141,romanian,0.4021739130434782,20
142,rotuman,0.3260869565217391,2
143,rundi,0.2028985507246377,1
144,russian,0.4634661835748792,48
145,rwanda,0.6376811594202898,1
146,sa'a,0.3623188405797101,1
147,sardinian,0.3043478260869565,1
148,sarua,0.8115942028985508,1
149,satawalese,0.3260869565217391,2
150,serbian,0.3542673107890499,18
151,serer,0.5942028985507246,1
152,sesotho,0.7681159420289855,1
153,shan,0.6811594202898551,1
154,shilluk,0.6376811594202898,1
155,shona,0.1739130434782608,2
156,sicilian,0.6956521739130435,1
157,sindhi,0.463768115942029,1
158,sinhala,0.8115942028985508,1
159,slovak,0.4289855072463767,5
160,slovenian,0.2101449275362318,2
161,somali,0.5603864734299517,6
162,spanish,0.4594739667203437,162
163,sundanese,0.6086956521739131,1
164,susu,0.4057971014492754,1
165,swedish,0.3043478260869565,20
166,sylheti,0.8115942028985508,1
167,synthesized,0.4891304347826087,4
168,tagalog,0.322866344605475,18
169,taishan,0.5217391304347826,1
170,taiwanese,0.5181159420289855,8
171,tajiki,0.357487922705314,3
172,tamil,0.323671497584541,6
173,tatar,0.217391304347826,1
174,telugu,0.4057971014492753,2
175,temne,0.3333333333333333,1
176,teochew,0.5072463768115942,1
177,thai,0.5371980676328503,15
178,tibetan,0.4251207729468599,3
179,tigrigna,0.5289855072463768,8
180,tswana,0.5289855072463768,2
181,turkish,0.5201723462593028,37
182,turkmen,0.7391304347826086,1
183,twi,0.4347826086956521,5
184,ukrainian,0.5059288537549407,11
185,urdu,0.3143115942028985,16
186,uyghur,0.5845410628019324,3
187,uzbek,0.5543478260869565,4
188,vietnamese,0.5948616600790513,22
189,vlaams,0.2065217391304347,4
190,wolof,0.5652173913043478,6
191,wu,0.4202898550724637,1
192,xasonga,0.6376811594202898,1
193,xiang,0.4384057971014492,4
194,yakut,0.4347826086956521,1
195,yapese,0.391304347826087,1
196,yiddish,0.3623188405797101,5
197,yoruba,0.5681159420289854,5
198,yupik,0.2318840579710145,1
199,zulu,0.391304347826087,1
